"business_id","date","score","description","type"
"29790","20190416","96","","ROUTINE"
"29790","20190813","94","","ROUTINE"
"29790","20150129","93","","ROUTINE"
"29790","20150707","93","","ROUTINE"
"29790","20151218","94","","ROUTINE"
"29790","20160623","94","","ROUTINE"
"29790","20161202","87","","ROUTINE"
"29790","20170515","96","","ROUTINE"
"29790","20161208","96","","FOLLOWUP"
"29790","20171018","94","","ROUTINE"
"29790","20180301","94","","ROUTINE"
"29790","20181212","96","","ROUTINE"
"29790","20180709","96","","ROUTINE"
"31334","20190925","100","","ROUTINE"
"31334","20150320","100","","ROUTINE"
"31334","20151015","100","","ROUTINE"
"31334","20160317","95","","ROUTINE"
"31334","20161021","100","","ROUTINE"
"31334","20170323","97","","ROUTINE"
"31334","20171023","100","","ROUTINE"
"31334","20180330","100","","ROUTINE"
"31334","20181011","98","","ROUTINE"
"31334","20190409","99","","ROUTINE"
"32112","20191120","99","","ROUTINE"
"32112","20150123","95","","ROUTINE"
"32112","20150723","93","","ROUTINE"
"32112","20160107","71","","ROUTINE"
"32112","20160114","100","","FOLLOWUP"
"32112","20160729","94","","ROUTINE"
"32112","20161118","","","COMPLAINT"
"32112","20160610","","","COMPLAINT"
"32112","20170120","96","","ROUTINE"
"32112","20170803","98","","ROUTINE"
"32112","20180228","93","","ROUTINE"
"32112","20180814","96","","ROUTINE"
"32112","20190411","98","","ROUTINE"
"32114","20200107","93","","ROUTINE"
"32114","20150327","90","","ROUTINE"
"32114","20151207","90","","ROUTINE"
"32114","20160330","92","","ROUTINE"
"32114","20170420","91","","ROUTINE"
"32114","20170420","","","COMPLAINT"
"32114","20161228","87","","ROUTINE"
"32114","20171204","91","","ROUTINE"
"32114","20170531","","","FOLLOWUP"
"32114","20180419","89","","ROUTINE"
"32114","20181116","93","","ROUTINE"
"32114","20190618","94","","ROUTINE"
"32140","20190812","95","","ROUTINE"
"32140","20150123","96","","ROUTINE"
"32140","20150811","96","","ROUTINE"
"32140","20160216","95","","ROUTINE"
"32140","20160727","96","","ROUTINE"
"32140","20170523","91","","ROUTINE"
